19482.4451904,9617.95666504,33876.4609375,31468.4578857,1539.44726562
19482.4451904,9617.95666504,33876.4609375,31468.4578857,1539.44726562
19482.4451904,9617.95666504,33876.4609375,31468.4578857,1539.44726562
19482.4451904,9617.95666504,33876.4609375,31468.4578857,1539.44726562
19832.7940674,9644.83642578,34357.1291504,31543.026001,1561.29528809
13716.9370117,6686.64208984,22901.3781738,21728.0946045,1040.39916992
13716.9370117,6686.64208984,22901.3781738,21728.0946045,1040.39916992
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
21987.4139404,10315.5258789,37654.651001,33520.4210205,1711.69604492
17938.7637939,7679.22790527,28852.0166016,24558.8682861,1311.32165527
17848.0908203,7672.64819336,28722.2999268,24538.9786377,1305.4251709
17962.3464355,7688.22668457,28886.0134277,24584.1586914,1312.86694336
17962.3464355,7688.22668457,28886.0134277,24584.1586914,1312.86694336
10011.9196777,4423.19482422,16207.9993896,14492.5537109,735.181274414
10011.9196777,4423.19482422,16207.9993896,14492.5537109,735.181274414
10011.9196777,4423.19482422,16207.9993896,14492.5537109,735.181274414
10182.2557373,4432.71057129,16434.878418,14520.6386719,745.491699219
9713.83508301,4405.64990234,15811.1621094,14438.7850342,717.140991211
17445.0072021,7654.34326172,28267.1003418,24530.5787354,1284.77453613
17445.0072021,7654.34326172,28267.1003418,24530.5787354,1284.77453613
17445.0072021,7654.34326172,28267.1003418,24530.5787354,1284.77453613
17445.0072021,7654.34326172,28267.1003418,24530.5787354,1284.77453613
16835.6950684,7609.58190918,27446.760498,24408.4534912,1247.4855957
18098.6546631,7695.08251953,28975.5091553,24603.9228516,1316.8795166
18098.6546631,7695.08251953,28975.5091553,24603.9228516,1316.8795166
18098.6546631,7695.08251953,28975.5091553,24603.9228516,1316.8795166
5248.41748047,9849.87072754,19579.5037842,17697.3723145,872.477172852
5248.41748047,9849.87072754,19579.5037842,17697.3723145,872.477172852
5248.41748047,9849.87072754,19579.5037842,17697.3723145,872.477172852
15805.4003906,8744.99230957,28415.1759033,14001.6378174,1272.6529541
15805.4003906,8744.99230957,28415.1759033,14001.6378174,1272.6529541
6234.84912109,10476.0283203,21484.8216553,18540.5334473,959.149780273
16124.0443115,9353.84838867,32842.40271,31748.6767578,1490.88684082
15912.885376,9039.41223145,28790.4350586,29650.494751,1307.54858398
15912.885376,9039.41223145,28790.4350586,29650.494751,1307.54858398
14364.6702881,8582.28564453,26710.6749268,28450.8104248,1212.4934082
14364.6702881,8582.28564453,26710.6749268,28450.8104248,1212.4934082
17956.4388428,9227.72680664,31317.9786377,30262.5574951,1422.18310547
9917.74951172,6617.36730957,27623.9898682,23635.0848389,1075.40075684
9917.74951172,6617.36730957,27623.9898682,23635.0848389,1075.40075684
64438.8242188,24990.2280273,115017.054199,78921.0029297,5197.23498535
64438.8242188,24990.2280273,115017.054199,78921.0029297,5197.23498535
64438.8242188,24990.2280273,115017.054199,78921.0029297,5197.23498535
64438.8242188,24990.2280273,115017.054199,78921.0029297,5197.23498535
64438.8242188,24990.2280273,115017.054199,78921.0029297,5197.23498535
5581.47363281,10029.9943848,22001.017334,18509.9312744,990.407226562
7616.13269043,9746.65039062,23103.7016602,16307.8535156,1044.53015137
7818.31518555,9852.74719238,23758.2105713,16558.8137207,1072.14025879
7804.0255127,9851.32104492,23743.3554688,16555.4123535,1071.46508789
6117.1661377,10309.9609375,22997.1561279,18920.7745361,1036.06347656
17626.4331055,4547.46923828,28446.4376221,15366.3687744,1293.02172852
20095.3441162,4899.80505371,31931.2773438,16492.8133545,1451.42382812
50900.0822754,11350.6534424,98636.9112549,41598.5664062,4483.49450684
74148.720459,13712.56604,118108.164795,45316.1151123,5368.55517578
65866.2095947,13420.1334229,107746.860718,44624.3947754,4897.58752441
65866.2095947,13420.1334229,107746.860718,44624.3947754,4897.58752441
65866.2095947,13420.1334229,107746.860718,44624.3947754,4897.58752441
65866.2095947,13420.1334229,107746.860718,44624.3947754,4897.58752441
29660.2741699,12133.9359131,61014.1464844,43234.3441162,2773.37780762
36601.192627,10880.3352051,61057.4907227,35900.1114502,2775.33398438
18829.9539795,6215.06518555,30533.0999756,20395.9124756,1386.95288086
18416.7735596,6179.03979492,29944.185791,20292.3525391,1360.1842041
18174.2585449,6129.47814941,29569.9504395,20121.8861084,1343.17382812
18174.2585449,6129.47814941,29569.9504395,20121.8861084,1343.17382812
11330.0644531,5228.8918457,20269.6494141,17594.4901123,920.566162109
14260.184082,5171.18408203,24259.5983887,17861.9278564,1100.36474609
14260.184082,5171.18408203,24259.5983887,17861.9278564,1100.36474609
16837.8621826,5472.17431641,26822.7630615,17586.2589111,1218.45751953
16837.8621826,5472.17431641,26822.7630615,17586.2589111,1218.45751953
17766.4387207,4995.00598145,28011.2875977,15830.215332,1272.73913574
19201.036377,5437.03308105,29823.7041016,17449.6407471,1355.03967285
19201.036377,5437.03308105,29823.7041016,17449.6407471,1355.03967285
20317.776123,6030.76586914,31705.0246582,19130.7467041,1441.02026367
20317.776123,6030.76586914,31705.0246582,19130.7467041,1441.02026367
19834.2475586,6103.18041992,31126.5826416,19778.8808594,1413.95068359
19834.2475586,6103.18041992,31126.5826416,19778.8808594,1413.95068359
13234.6085205,6292.03295898,23890.7174072,21165.5234375,1084.70068359
